Hit;Tool;ShapesLanguage;Size;ElapsedTime_ms
1;sheXer;ShEx;1000;1265
2;sheXer;ShEx;1000;806
3;sheXer;ShEx;1000;842
4;sheXer;ShEx;1000;750
5;sheXer;ShEx;1000;771
6;sheXer;ShEx;1000;714
7;sheXer;ShEx;1000;792
8;sheXer;ShEx;1000;800
9;sheXer;ShEx;1000;797
10;sheXer;ShEx;1000;817
11;sheXer;ShEx;1000;731
12;sheXer;ShEx;1000;768
13;sheXer;ShEx;1000;740
14;sheXer;ShEx;1000;768
15;sheXer;ShEx;1000;744
16;sheXer;ShEx;1000;784
17;sheXer;ShEx;1000;838
18;sheXer;ShEx;1000;775
19;sheXer;ShEx;1000;773
20;sheXer;ShEx;1000;832
21;sheXer;ShEx;1000;665
22;sheXer;ShEx;1000;758
23;sheXer;ShEx;1000;731
24;sheXer;ShEx;1000;763
25;sheXer;ShEx;1000;717
26;sheXer;ShEx;1000;709
27;sheXer;ShEx;1000;734
28;sheXer;ShEx;1000;658
29;sheXer;ShEx;1000;767
30;sheXer;ShEx;1000;690
1;sheXer;SHACL;1000;702
2;sheXer;SHACL;1000;638
3;sheXer;SHACL;1000;694
4;sheXer;SHACL;1000;697
5;sheXer;SHACL;1000;866
6;sheXer;SHACL;1000;873
7;sheXer;SHACL;1000;754
8;sheXer;SHACL;1000;752
9;sheXer;SHACL;1000;753
10;sheXer;SHACL;1000;740
11;sheXer;SHACL;1000;650
12;sheXer;SHACL;1000;688
13;sheXer;SHACL;1000;700
14;sheXer;SHACL;1000;713
15;sheXer;SHACL;1000;679
16;sheXer;SHACL;1000;704
17;sheXer;SHACL;1000;741
18;sheXer;SHACL;1000;631
19;sheXer;SHACL;1000;656
20;sheXer;SHACL;1000;683
21;sheXer;SHACL;1000;757
22;sheXer;SHACL;1000;719
23;sheXer;SHACL;1000;643
24;sheXer;SHACL;1000;739
25;sheXer;SHACL;1000;642
26;sheXer;SHACL;1000;670
27;sheXer;SHACL;1000;730
28;sheXer;SHACL;1000;628
29;sheXer;SHACL;1000;689
30;sheXer;SHACL;1000;695
1;sheXer;ShEx;10000;4595
2;sheXer;ShEx;10000;4667
3;sheXer;ShEx;10000;4719
4;sheXer;ShEx;10000;4765
5;sheXer;ShEx;10000;4831
6;sheXer;ShEx;10000;4780
7;sheXer;ShEx;10000;4876
8;sheXer;ShEx;10000;4856
9;sheXer;ShEx;10000;4814
10;sheXer;ShEx;10000;4639
11;sheXer;ShEx;10000;4773
12;sheXer;ShEx;10000;4787
13;sheXer;ShEx;10000;4820
14;sheXer;ShEx;10000;4785
15;sheXer;ShEx;10000;4942
16;sheXer;ShEx;10000;5917
17;sheXer;ShEx;10000;5593
18;sheXer;ShEx;10000;5203
19;sheXer;ShEx;10000;5237
20;sheXer;ShEx;10000;5027
21;sheXer;ShEx;10000;5186
22;sheXer;ShEx;10000;5168
23;sheXer;ShEx;10000;5099
24;sheXer;ShEx;10000;5232
25;sheXer;ShEx;10000;5118
26;sheXer;ShEx;10000;4913
27;sheXer;ShEx;10000;4802
28;sheXer;ShEx;10000;4818
29;sheXer;ShEx;10000;4866
30;sheXer;ShEx;10000;4901
1;sheXer;SHACL;10000;5016
2;sheXer;SHACL;10000;4952
3;sheXer;SHACL;10000;4841
4;sheXer;SHACL;10000;4843
5;sheXer;SHACL;10000;4676
6;sheXer;SHACL;10000;4940
7;sheXer;SHACL;10000;4762
8;sheXer;SHACL;10000;4676
9;sheXer;SHACL;10000;4837
10;sheXer;SHACL;10000;5007
11;sheXer;SHACL;10000;4712
12;sheXer;SHACL;10000;5332
13;sheXer;SHACL;10000;5044
14;sheXer;SHACL;10000;4762
15;sheXer;SHACL;10000;4742
16;sheXer;SHACL;10000;4979
17;sheXer;SHACL;10000;4820
18;sheXer;SHACL;10000;4850
19;sheXer;SHACL;10000;4557
20;sheXer;SHACL;10000;4849
21;sheXer;SHACL;10000;4608
22;sheXer;SHACL;10000;4650
23;sheXer;SHACL;10000;4732
24;sheXer;SHACL;10000;4692
25;sheXer;SHACL;10000;4806
26;sheXer;SHACL;10000;4875
27;sheXer;SHACL;10000;4795
28;sheXer;SHACL;10000;4978
29;sheXer;SHACL;10000;4807
30;sheXer;SHACL;10000;4827
1;sheXer;ShEx;100000;47630
2;sheXer;ShEx;100000;48020
3;sheXer;ShEx;100000;46941
4;sheXer;ShEx;100000;47665
5;sheXer;ShEx;100000;47083
6;sheXer;ShEx;100000;47072
7;sheXer;ShEx;100000;47255
8;sheXer;ShEx;100000;47417
9;sheXer;ShEx;100000;47424
10;sheXer;ShEx;100000;47775
11;sheXer;ShEx;100000;48181
12;sheXer;ShEx;100000;47598
13;sheXer;ShEx;100000;48131
14;sheXer;ShEx;100000;46957
15;sheXer;ShEx;100000;47584
16;sheXer;ShEx;100000;47728
17;sheXer;ShEx;100000;48015
18;sheXer;ShEx;100000;47923
19;sheXer;ShEx;100000;47696
20;sheXer;ShEx;100000;47299
21;sheXer;ShEx;100000;46743
22;sheXer;ShEx;100000;47153
23;sheXer;ShEx;100000;47343
24;sheXer;ShEx;100000;47388
25;sheXer;ShEx;100000;47182
26;sheXer;ShEx;100000;47570
27;sheXer;ShEx;100000;47574
28;sheXer;ShEx;100000;47465
29;sheXer;ShEx;100000;47638
30;sheXer;ShEx;100000;47482
1;sheXer;SHACL;100000;46802
2;sheXer;SHACL;100000;46911
3;sheXer;SHACL;100000;47764
4;sheXer;SHACL;100000;47191
5;sheXer;SHACL;100000;47914
6;sheXer;SHACL;100000;47980
7;sheXer;SHACL;100000;46689
8;sheXer;SHACL;100000;47374
9;sheXer;SHACL;100000;48011
10;sheXer;SHACL;100000;47434
11;sheXer;SHACL;100000;47744
12;sheXer;SHACL;100000;48328
13;sheXer;SHACL;100000;47962
14;sheXer;SHACL;100000;46523
15;sheXer;SHACL;100000;47595
16;sheXer;SHACL;100000;47479
17;sheXer;SHACL;100000;47538
18;sheXer;SHACL;100000;47727
19;sheXer;SHACL;100000;47653
20;sheXer;SHACL;100000;47951
21;sheXer;SHACL;100000;47753
22;sheXer;SHACL;100000;47778
23;sheXer;SHACL;100000;47642
24;sheXer;SHACL;100000;47180
25;sheXer;SHACL;100000;47627
26;sheXer;SHACL;100000;47829
27;sheXer;SHACL;100000;47782
28;sheXer;SHACL;100000;47393
29;sheXer;SHACL;100000;47551
30;sheXer;SHACL;100000;47820
1;sheXer;ShEx;1000000;180140
2;sheXer;ShEx;1000000;180155
3;sheXer;ShEx;1000000;180159
4;sheXer;ShEx;1000000;180139
5;sheXer;ShEx;1000000;180135
6;sheXer;ShEx;1000000;180153
7;sheXer;ShEx;1000000;180166
8;sheXer;ShEx;1000000;180167
9;sheXer;ShEx;1000000;180174
10;sheXer;ShEx;1000000;180132
11;sheXer;ShEx;1000000;180153
12;sheXer;ShEx;1000000;180167
13;sheXer;ShEx;1000000;180155
14;sheXer;ShEx;1000000;180127
15;sheXer;ShEx;1000000;180156
16;sheXer;ShEx;1000000;180158
17;sheXer;ShEx;1000000;180139
18;sheXer;ShEx;1000000;180159
19;sheXer;ShEx;1000000;180153
20;sheXer;ShEx;1000000;180157
21;sheXer;ShEx;1000000;180154
22;sheXer;ShEx;1000000;188807
23;sheXer;ShEx;1000000;180157
24;sheXer;ShEx;1000000;180144
25;sheXer;ShEx;1000000;180152
26;sheXer;ShEx;1000000;180146
27;sheXer;ShEx;1000000;180155
28;sheXer;ShEx;1000000;185850
29;sheXer;ShEx;1000000;180154
30;sheXer;ShEx;1000000;180159
1;sheXer;SHACL;1000000;180154
2;sheXer;SHACL;1000000;183216
3;sheXer;SHACL;1000000;187344
4;sheXer;SHACL;1000000;180116
5;sheXer;SHACL;1000000;180131
6;sheXer;SHACL;1000000;180155
7;sheXer;SHACL;1000000;180123
8;sheXer;SHACL;1000000;180122
9;sheXer;SHACL;1000000;180148
10;sheXer;SHACL;1000000;180153
11;sheXer;SHACL;1000000;180152
12;sheXer;SHACL;1000000;180154
13;sheXer;SHACL;1000000;180185
14;sheXer;SHACL;1000000;180153
15;sheXer;SHACL;1000000;180138
16;sheXer;SHACL;1000000;180154
17;sheXer;SHACL;1000000;180162
18;sheXer;SHACL;1000000;180161
19;sheXer;SHACL;1000000;180198
20;sheXer;SHACL;1000000;187246
21;sheXer;SHACL;1000000;186611
22;sheXer;SHACL;1000000;187791
23;sheXer;SHACL;1000000;180134
24;sheXer;SHACL;1000000;180144
25;sheXer;SHACL;1000000;180155
26;sheXer;SHACL;1000000;180149
27;sheXer;SHACL;1000000;180172
28;sheXer;SHACL;1000000;185764
29;sheXer;SHACL;1000000;180154
30;sheXer;SHACL;1000000;180147
1;RML2SHACL;SHACL;1000;388
2;RML2SHACL;SHACL;1000;271
3;RML2SHACL;SHACL;1000;284
4;RML2SHACL;SHACL;1000;269
5;RML2SHACL;SHACL;1000;267
6;RML2SHACL;SHACL;1000;311
7;RML2SHACL;SHACL;1000;286
8;RML2SHACL;SHACL;1000;278
